Number,Severity,Locale,File,Line,msgctxt (token context),msgid (source string),Issue Title,Description,URL,Created At
1,Medium,fr_FR,locales/fr_FR/LC_MESSAGES/duckduckgo.po,22360,Description for the joiner-device success screen,Use this code to restore your data if you lose access to your devices. Keep it safe.,"Inconsistent informal ""tu"" form in French translations","Two newly added French translations use informal ""tu"" form (`""Utilise ce code pour rétablir tes données si tu perds...""`, `""Tes paramètres sont enregistrés... Installe l'extension...""`) while the rest of the file consistently uses formal ""vous"" form. The nearly identical string at line 22368 correctly uses ""vous"" (`""Utilisez ce code pour restaurer vos discussions...""`), making the inconsistency especially visible for the recovery code message.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3665661515,2026-07-28T12:56:41Z
2,Low,fr_FR,locales/fr_FR/LC_MESSAGES/duckduckgo.po,9041,Instruction in the mobile Scan-or-Copy-Code modal,"Go to %sDuck.ai Settings%s in your other browser, or the DuckDuckGo App and go to %sChats › Sync & Backup › Sync With Another Device%s and scan this code:",Double space before colon in French translation,"The newly added translation has two spaces before the colon: `et scannez ce code :` — French typography requires exactly one space before a colon, not two. This will be visible to users as an extra whitespace gap.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3665661523,2026-07-28T12:56:41Z
3,Low,it_IT,locales/it_IT/LC_MESSAGES/duckduckgo.po,578,,... or ask a follow-up with Duck.ai,Inconsistent ellipsis character between related translation strings,"The two newly added Italian translations for the follow-up prompt placeholder use different ellipsis characters. The mobile variant (line 573) uses three ASCII periods (`...`) matching the source `msgid`, while the desktop variant (line 578) uses a Unicode ellipsis (`…` U+2026). Since both are variants of the same AI Chat prompt input (mobile vs desktop widths for the same experiment), users may notice a visual inconsistency between viewports.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3669301018,2026-07-28T21:27:16Z
4,Low,it_IT,locales/it_IT/LC_MESSAGES/duckduckgo.po,8995,Instruction in the mobile Scan-or-Copy-Code modal,"Go to %sDuck.ai Settings%s in your other browser, or the DuckDuckGo App and go to %sChats › Sync & Backup › Sync With Another Device%s and scan this code:","Missing conjunction ""e"" in Italian sync instruction translation","The Italian translation for the mobile ""Scan-or-Copy-Code"" instruction is missing the conjunction `""e""` (meaning ""and"") between `""DuckDuckGo""` and `""vai su""`. The English source says ""...the DuckDuckGo App **and** go to..."" but this variant translates it as `""...DuckDuckGo vai su...""` instead of `""...DuckDuckGo e vai su...""`. The other three closely related ""Go to"" instruction translations all correctly include the `""e""`, making this an inconsistency in user-facing setup instructions.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3669301022,2026-07-28T21:27:16Z
5,Medium,et_EE,locales/et_EE/LC_MESSAGES/duckduckgo.po,8925,Instruction in the mobile Scan-or-Copy-Code modal,"Go to %sDuck.ai Settings%s in your other browser, or the DuckDuckGo App and go to %sChats › Sync & Backup › Sync With Another Device%s and scan this code:","Typo ""võime"" instead of ""mine"" in Estonian translation","The Estonian translation for the mobile Scan-or-Copy-Code instruction uses `võime` (""we can"") instead of `mine` (""go""), making the sentence grammatically incorrect and nonsensical. The three parallel translations of the same ""Go to…"" pattern at lines 8903, 8914, and 8937 all correctly use `või mine DuckDuckGo rakenduses`, confirming this is a typo.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3670196659,2026-07-29T00:54:41Z
6,Low,id_ID,locales/id_ID/LC_MESSAGES/duckduckgo.po,19441,Confirmation label,Switched to %s,Confirmation and action labels have identical translation,"The new translation for `""Switched to %s""` (a confirmation label shown after the model switch completes) is `""Beralih ke %1$s""`, which is identical to the button label `""Switch to %s""` also translated as `""Beralih ke %1$s""`. Indonesian uses markers like ""Sudah"" or ""Telah"" to express completed actions, so the confirmation label loses its distinction from the action button, potentially confusing users about whether the switch actually happened.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3672255369,2026-07-29T08:14:03Z
7,Low,bg_BG,locales/bg_BG/LC_MESSAGES/duckduckgo.po,582,,... or ask a follow-up with Duck.ai,Inconsistent ellipsis character between related translation strings,"The translation for `""... or ask a follow-up""` at line 577 correctly uses three ASCII dots (`...`) matching the source `msgid`, but the closely related translation for `""... or ask a follow-up with Duck.ai""` at line 582 uses a Unicode horizontal ellipsis (`…` / U+2026) instead. Both source strings in `duckduckgo.pot` use ASCII `...`. This mismatch between two translations that serve as variants of the same UI element (one for narrow mobile, one for wider viewports) could cause visual inconsistency.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3672676869,2026-07-29T09:12:28Z
8,Low,sl_SI,locales/sl_SI/LC_MESSAGES/duckduckgo.po,571,,... or ask a follow-up,Inconsistent ellipsis character in sibling translation strings,"Two sibling translations for the same UI element use different ellipsis representations. Line 571 uses three ASCII period characters (`...`) while line 576 uses a single Unicode ellipsis (`…`). Both source `msgid` strings use `...` (three ASCII periods). These strings are viewport-width variants of the same AI Chat prompt input placeholder, so the visual inconsistency could be noticeable to users switching between mobile and desktop.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3672887517,2026-07-29T09:37:07Z
9,Medium,nl_NL,locales/nl_NL/LC_MESSAGES/duckduckgo.po,8946,Instruction under the Scan QR tab sub-heading,"Go to %sDuck.ai Settings%s in your other browser, or the DuckDuckGo App and go to %sChats › Sync & Backup › Sync With Another Device%s","Inconsistent ""Sync & Backup"" feature name translation in navigation paths","Three of the four new navigation-path instructions translate ""Sync & Backup"" to ""Synchroniseren en back-ups"", while every other translation in this file consistently keeps ""Sync & Backup"" in English as a proper feature name (e.g., `""Over chatgeschiedenis met Sync & Backup""`, `%3$sSync & Backup%4$s`). The first instruction at line 8934 also correctly keeps it as `""Sync & Backup""`. Since these are step-by-step instructions telling users which UI labels to look for, using a translated name that doesn't match the actual UI label would prevent users from finding the setting.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3673042757,2026-07-29T09:57:20Z
10,Low,lt_LT,locales/lt_LT/LC_MESSAGES/duckduckgo.po,576,,... or ask a follow-up with Duck.ai,Missing leading ellipsis in placeholder text translation,"The translation for `""... or ask a follow-up with Duck.ai""` at line 576 is `""arba užduokite papildomą klausimą „Duck.ai""""` — missing the leading `...` that is present in the source string. The sibling translation at line 571 for `""... or ask a follow-up""` correctly preserves the leading ellipsis as `""... arba užduokite papildomą klausimą...""`. This inconsistency means the wider/desktop placeholder will render without the visual ellipsis that the design includes to indicate continuation context.",https://github.com/duckduckgo/duckduckgo-locales/pull/904#discussion_r3673748103,2026-07-29T11:28:31Z
